weiboID,sentenceID,sentence,opinionated,polarity
5074,1,#菲军舰恶意撞击#国家的耻辱,Y,NEG
5076,1,#菲军舰恶意撞击#中国，还是无法摆脱百年传统的软弱。,Y,NEG
5088,1,#菲军舰恶意撞击#小小菲律宾都敢动你中国,Y,NEG
5091,1,#菲军舰恶意撞击#这种事怎么这么平常了。,Y,NEG
5091,2,一次次的强烈谴责，一次次的强调。,N,NA
5091,3,固有领土？,N,NA
5091,4,在我们农村房基地被人占一点也不行啊，是不是闲咱们国家面积太大了啊？,N,NA
5091,5,殊不知人善被人欺啊！,N,NA
5091,6,崛起中国。,N,NA
5092,1,#菲军舰恶意撞击#有多少人关心这些？,N,NA
5092,2,媒体都干嘛去了？,Y,NEG
5092,3,这不是一个人的病 而是社会,Y,NEG
5094,1,#菲军舰恶意撞击#共产党下台,Y,NEG
5095,1,#菲军舰恶意撞击#现在的中国太软弱了不知道什么时候能硬起来,Y,NEG
5114,1,#菲军舰恶意撞击#中国现在太窝囊了，要是毛爷爷邓爷爷在，什么越南菲律宾，早TM滚蛋了,Y,NEG
5116,1,#菲军舰恶意撞击#都几年了，菲律宾屡屡挑衅，外交部除了抗议还有什么，丫的，太懦弱了！,Y,NEG
5116,2,迟早人家会宣战的，一定到那时才动手吗？,N,NA
5116,3,我感觉越来越失望了,Y,NEG
5118,1,#菲军舰恶意撞击#中国的那群老东西够软蛋  怕了是薄  怕搞乱你们美好的回忆？,Y,NEG
5118,2,老了就滚回去报孙子   别让全国人民吐你们口水！,Y,NEG
5122,1,#菲军舰恶意撞击#呵呵，谁叫我们国家政府是软蛋呢…,Y,NEG
5122,2,以后没事别出去…,N,NA
5122,3,省得被人劫持，杀害，又故意把你撞翻…,N,NA
5122,4,万一要出去，挂上美国旗，就没敢人惹…,N,NA
5122,5,谁惹就灭他满门,N,NA
5127,1,#菲军舰恶意撞击#我们不能再软弱了，中华雄狮起来啊！,Y,POS
5129,1,#菲军舰恶意撞击#草  国家在干吗   就让他那么的挑衅,Y,NEG
5141,1,#菲军舰恶意撞击#小菲你真不要脸，你TMD給我听好了，中国做为世界第一文明大国不給你，你说你连一个文明人你都欺负，你TMD还是人吗？,Y,NEG
5141,2,不是中国不打你，你p大点的国家，中国怕别的国家说中国已大欺小，你TMD知道了吗？,Y,NEG
5141,3,你在拽小心外星人揍你。,Y,NEG
5144,1,#菲军舰恶意撞击#所有爱国人士都应该对政府军队的软弱给予强烈的谴责，国家是人们的国家，不是几个人的国家，对于关乎全国人民利益的大事件，人们应该有权力表达意愿。,Y,NEG
5144,2,并且政府应该尊重和有效的执行。,N,NA
5144,3,我希望国家富强，希望拥有一份作为中国人的自豪。,N,NA
5148,1,#菲军舰恶意撞击#中国 秧秧大国 灭掉蛋丸之地的菲律宾 。,Y,POS
5156,1,#菲军舰恶意撞击#习惯了中国外交的道貌岸然.真他爹的窝囊…,Y,NEG
5161,1,#菲军舰恶意撞击#类似的事很多。,N,NA
5161,2,中国是礼仪之邦。,Y,POS
5161,3,肯定是态度强硬。,Y,POS
5161,4,行动软弱。,Y,NEG
5161,5,身为百姓的我们要忍。,N,NA
5161,6,一定要忍。,N,NA
5161,7,那怕南海从中国版图中消失。,N,NA
5161,8,还是忍了吧。,N,NA
5161,9,经济建设最重要。,N,NA
5164,1,#菲军舰恶意撞击#南海舰队何在?,Y,NEG
5164,2,是否也可以意外的送它个鱼雷,N,NA
5173,1,#菲军舰恶意撞击#MD，干掉他姥姥，小菲子！,Y,NEG
5192,1,#菲军舰恶意撞击#政府就会以规章节制穷老百姓，官员自己贪污受贿，有钱人肆意妄为！,Y,NEG
5192,2,碰上外国中国又打着友好的旗号了事，国际上充好人，称大国，其实自己国家还没处理好…,N,NA
5194,1,#菲军舰恶意撞击#都是狗熊，只会欺负百姓，不会对付外侮，早晚倒台……,Y,NEG
5207,1,#菲军舰恶意撞击#中国…,N,NA
5207,2,你还要窝囊到什么时候…,Y,NEG
5207,3,难道等到人家刀架到你脖子上才知道反抗么,Y,NEG
5210,1,#菲军舰恶意撞击#中国的兵，就是好，天天上课，就是没毕业考试过…,Y,NEG
5213,1,#菲军舰恶意撞击#哎，明天的电视又要开始强烈谴责了。,N,NA
5213,2,国防部真的该解散了,Y,NEG
5230,1,#菲军舰恶意撞击#安逸！,N,NA
5230,2,这就是软弱的后果！,N,NA
5230,3,家门口都被欺，真想不通，还说中国说超级大国，超级大笨国！！！！,Y,NEG
5232,1,#菲军舰恶意撞击#中国总是那么软弱,Y,NEG
5251,1,#菲军舰恶意撞击#中国政府缺钙了，哈哈哈哈哈……,Y,NEG
5253,1,#菲军舰恶意撞击#无能政府，庸官下台，,Y,NEG
5256,1,#菲军舰恶意撞击#我建议：反、供，这政府太无能了，不如一个国民党现在，推翻了，谁起个头，,Y,NEG
5262,1,#菲军舰恶意撞击#弱国无外交，前一段时间是小日本，这两天泰国、缅甸，这回菲律宾，中国的领导好脾气啊！,Y,NEG
5262,2,我心痛！,N,NA
5268,1,#菲军舰恶意撞击#等我把钱赚够了就不回国了，我在这定居了。,N,NA
5268,2,中国政府太无能了,Y,NEG
5273,1,#菲军舰恶意撞击#中国共产党什么都好，就是在被欺负的时候话都不敢说！,Y,NEG
5290,1,#菲军舰恶意撞击#菲国真是欺人太甚，根本就是流氓行为，说什么小意外，在南海，菲国有什么资格检查我国的渔船，就凭他开艘炮艇吗？,Y,NEG
5306,1,#菲军舰恶意撞击#共产党对外就是忍者神龟,Y,NEG
5310,1,#菲军舰恶意撞击#菲狗你不要太消张了,Y,NEG
5311,1,#菲军舰恶意撞击#小菲，你丫的找国人费了你呢，明天炮轰它们，说演习呢，没看见那块小地方还有人，只看见一群猪,Y,NEG
5343,1,#菲军舰恶意撞击#啊要！,N,NA
5343,2,中国人民军队在干嘛呀？,Y,NEG
5343,3,连菲律宾小人国都来踏上你唻。,N,NA
5344,1,#菲军舰恶意撞击#政府把东亚病夫演绎得淋漓尽致…,Y,NEG
5344,2,在下佩服得五体投地！,N,NA
5346,1,#菲军舰恶意撞击#中国这一代领导人太无能了，虽然这是美国蓄意挑拨,Y,NEG
5354,1,#菲军舰恶意撞击#中国快完了共产党下台吧,Y,NEG
5355,1,#菲军舰恶意撞击#中国政府阳萎了。,Y,NEG
5357,1,#菲军舰恶意撞击#中国政府太软弱了！,Y,NEG
5357,2,哎…,N,NA
5357,3,最近发生的一些是让人太窝火了！,Y,NEG
5357,4,老胡你成天在想些啥呢为了你,N,NA
5358,1,#菲军舰恶意撞击#中华民族真悲哀！,Y,NEG
5358,2,日本干一下！,N,NA
5358,3,非礼一下！,N,NA
5358,4,印度一下！,N,NA
5358,5,南面一下！,N,NA
5358,6,东面一下！,N,NA
5358,7,中国是女优吗？,N,NA
5364,1,#菲军舰恶意撞击#我们又回到了腐败无能的清朝时代了,Y,NEG
5377,1,#菲军舰恶意撞击#昨日是泰狗杀你12人，今日菲驴撞撞你小船。,N,NA
5377,2,明天不知又有谁对你做啥。,N,NA
5377,3,中国就他妈的孬种，吊人一个，国防都防自己人，你他妈国防能做点正事吗？,Y,NEG
5377,4,能干点人事阿？,Y,NEG
5377,5,你他妈怕死，别连累别人阿，吊炮吊飞机在那都生锈了，你不会发给国人阿。,Y,NEG
5377,6,说你鸟人怕死，你他妈说这说那，你他妈吃屎去吧。,Y,NEG
5380,1,#菲军舰恶意撞击#中国老这么软弱干吗的？,Y,NEG
5380,2,给他们打就是了。,N,NA
5380,3,年轻人多的是。,N,NA
5380,4,每个年轻人发发架歼11炸他们的老窝。,N,NA
5380,5,就说中国年轻人玩过家家的,N,NA
5381,1,#菲军舰恶意撞击#高层领导，你们晚上能睡着吗，中国人的尊严快被你们当官做没了,Y,NEG
5383,1,#菲军舰恶意撞击#软弱的共产党，死去吧。,Y,NEG
5387,1,#菲军舰恶意撞击#大势以去，共产党完咯。,Y,NEG
5389,1,#菲军舰恶意撞击#敢做不敢当的小鳖三。,Y,NEG
5401,1,#菲军舰恶意撞击#以后在出海把中国国旗扯下来，挂老美的，中国政府太软蛋了！,Y,NEG
5406,1,#菲军舰恶意撞击#TNND    中国政府什么时候也强硬一回啊！,Y,NEG
5411,1,#菲军舰恶意撞击#中央那些领导都去死吧！,Y,NEG
5411,2,操把中国人杀光他们都还像菩萨一样一动不动。,N,NA
5414,1,#菲军舰恶意撞击#对外软弱无能，对自己人心狠手辣，这就是中国政府永远无法改变的实事。,Y,NEG
5437,1,我们的政府不够强硬，每次都是强烈抗议，别人鸟你么？,Y,NEG
5437,2,#菲军舰恶意撞击#,N,NA
5450,1,#疯狂的大葱#物价局该管管了.,N,NA
5461,1,#疯狂的大葱#不管你怎么涨，也难不住老百姓，只有城市的人才发愁，小葱早发芽了,N,NA
5467,1,#疯狂的大葱#疯狂的不是葱，是我们的政府。,Y,NEG
5467,2,有了这样的世道，有什么不能疯？,Y,NEG
5469,1,#疯狂的大葱#疯狂的不是大葱,N,NA
5472,1,#疯狂的大葱#可以更贵点，以后过节送礼，一家两捆大葱！,N,NA
5472,2,多气派～,Y,POS
5477,1,#疯狂的大葱#涨吧．涨吧．尽情的涨吧．我看你能涨到什么时候,N,NA
5481,1,#疯狂的大葱#都是两会代表体验生活惹的祸，说物价便宜现在好了会议以闭幕，这边落那边涨，这一切都是正常的一切都在操作中！,Y,NEG
5487,1,#疯狂的大葱# 蔬菜家族 以后会越来越疯狂的  我们马上就什么也吃不起了,Y,NEG
5489,1,#疯狂的大葱#在涨谁能吃多少不吃也可以自然涨的没意思了在看看燃油的价格如今谁又能不用呢,N,NA
5490,1,#疯狂的大葱#和公务员的工资比，这点算什么，和吃公款的比，只不过不到九牛一毛，可怜、可惨的农民人,Y,NEG
5491,1,#疯狂的大葱#夸张了吧！？,Y,NEG
5491,2,真这样我立马去种葱去,N,NA
5495,1,#疯狂的大葱#现在植物稀少，动物居多…,N,NA
5495,2,绿色养生嘛…,N,NA
5495,3,贵点应该…,Y,POS
5497,1,#疯狂的大葱#还有什么是不长的,N,NA
5498,1,#疯狂的大葱# /惊讶简直太疯狂啦,Y,NEG
5499,1,#疯狂的大葱#还真够黑的……,Y,NEG
5504,1,#疯狂的大葱#不是说物价下降了%之多少吗?,N,NA
5504,2,净吹牛!,Y,NEG
5504,3,这不坑老百姓吗!,Y,NEG
5504,4,还讲诚信-政府先不讲诚信-还让百姓讲i,Y,NEG
5506,1,#疯狂的大葱#大葱，呵呵…,N,NA
5506,2,咱也秀一回啊！,N,NA
5506,3,不知达人秀的那卖菜大妈还：送你葱不！！！,N,NA
5508,1,#疯狂的大葱#来点更疯狂的吧,N,NA
5515,1,#疯狂的大葱#啊  真让人大脑 葱 血,Y,NEG
5519,1,#疯狂的大葱#物价局吃干饭.该出来管管了.天天座地不动能了解到多少?,Y,NEG
5519,2,物价瞎涨.就工资不涨.,Y,NEG
5521,1,#疯狂的大葱#十块钱买两根葱，我要是在那样的物价环境中生活，估计早饿死了！,Y,NEG
5521,2,太坑爹了吧，如今的中国是怎么了？,Y,NEG
5525,1,#疯狂的大葱#价格暴涨啊……,Y,NEG
5527,1,#疯狂的大葱#比肉都贵了,Y,NEG
5533,1,#疯狂的大葱#以后不吃葱了,Y,NEG
5542,1,#疯狂的大葱# 6元一斤了！,N,NA
5542,2,/发怒,N,NA
5544,1,#疯狂的大葱#什么价格都涨，咋就没有看到工资涨！,Y,NEG
5544,2,我想不用多久中国又可以看到不少的街头乞丐了！,N,NA
5545,1,#疯狂的大葱#太夸张也没那么凶,Y,NEG
5547,1,#疯狂的大葱# 让它涨价去，我又不吃葱。,N,NA
5548,1,#疯狂的大葱#自己种呗，种花盆里，浇水就行了，嘿嘿,N,NA
5551,1,#疯狂的大葱#据说十元买两根，什么都涨价，还让不让人活了啊，都“辟谷”得了,Y,NEG
5555,1,#疯狂的大葱#哪有这么贵的啊，给我我都不看一眼,Y,NEG
5563,1,#疯狂的大葱#不喜欢吃,Y,NEG
5569,1,#疯狂的大葱#中国：吃有毒的奶粉，用臭沟里油，买10元两根葱、炒病死猪肉，喝有致癌饮料，住豆腐渣的房，走山体滑坡的路，过洪水淹着的桥，上微薪水的班，坐报废的车，读无黑板学校，写没有笔的字，娶买来的老婆，养拐来的娃，存不翼而飞的款，取真假不知的钱，供一群腐败的官。,Y,NEG
5569,2,我们还没死，活不起！,Y,NEG
5578,1,#疯狂的大葱#目前的中国经济就好像一颗大葱;看着挺直，如果储存管理不当，被霜冻一打，立马萎缩。,Y,NEG
5585,1,#疯狂的大葱#真是坑他老祖宗呢，你给我十块钱，我给你五根,Y,NEG
5588,1,#疯狂的大葱#我希望物价和工资都不要再长了   稳定中求发展嘛,N,NA
5589,1,#疯狂的大葱#主要的还是赚钱太少啊。,Y,NEG
5589,2,吃葱都吃不饱啊！,N,NA
5591,1,#疯狂的大葱#    要吃还得买 ！！！,N,NA
5592,1,#疯狂的大葱#只有劳动力最廉价,Y,NEG
5593,1,#疯狂的大葱#还挺‘疯’的,Y,NEG
5595,1,#疯狂的大葱#10元现在已经卖不到什么了，伤感啊,Y,NEG
5597,1,#疯狂的大葱#小葱大葱都是葱,N,NA
5600,1,#疯狂的大葱#为什么农产品涨了，农民的腰包却不见涨呢？,N,NA
5602,1,#疯狂的大葱#如果工资涨就好了。,N,NA
5605,1,#疯狂的大葱#别整天的盯着涨价涨价，为什么涨价你们知道吗？,N,NA
5605,2,人民币不值钱了能不涨吗？,Y,NEG
5605,3,为什么不值钱？,N,NA
5605,4,自己问党去,Y,NEG
5607,1,#疯狂的大葱#想吃大葱蘸酱！,N,NA
5610,1,#疯狂的大葱#其实农产品的价格种地的说了不算!,N,NA
5610,2,但目前来看政府也说了不算，到底谁说了算呢？,N,NA
5610,3,不明白啊!,N,NA
5612,1,#疯狂的大葱#社会的通货膨胀了,N,NA
5615,1,#疯狂的大葱#十块钱两根，以前吃煎饼果子是拼命放葱花，现在吃是拼命放鸡蛋。,Y,NEG
5615,2,/衰,N,NA
5618,1,#疯狂的大葱#差不多，我妈买了一根四块钱，跟我说的时候我都觉得震了！,Y,NEG
5619,1,#疯狂的大葱#物价不想让人们过日子了……,Y,NEG
5622,1,#疯狂的大葱#可不嘛 食堂都暴涨,Y,NEG
5624,1,#疯狂的大葱#葱要比肉贵了，以后改吃面了，不要加葱,Y,NEG
5625,1,#疯狂的大葱#大葱它肿么了？,N,NA
5625,2,/拥抱,N,NA
5628,1,#疯狂的大葱#悲催的社会,Y,NEG
5630,1,#疯狂的大葱# 不为别的、仅此而已~！,N,NA
5631,1,#疯狂的大葱#这么狠，不是坑人吗,Y,NEG
5634,1,#疯狂的大葱#这日子可真是没法过了，今天炒绿豆，明天炒大蒜，现在大葱又被炒上了，下一个是谁呢？,Y,NEG
5635,1,#疯狂的大葱#好坑爹啊！,Y,NEG
5636,1,#疯狂的大葱#哎 物价我同意你涨 你能带同 工资一起吗？,Y,NEG
5637,1,#疯狂的大葱#什么都涨，就工资不涨。,Y,NEG
5637,2,等工资张了，什么就都又涨了。,N,NA
5637,3,鸭梨，，，,N,NA
5640,1,#疯狂的大葱#无视，家里就土地多随便种点够吃的！,Y,NEU
5641,1,#疯狂的大葱#蒜葱狠,Y,NEG
5642,1,#疯狂的大葱#唉，难过啊？,N,NA
5644,1,#疯狂的大葱#拉去枪毕  让他涨价，害老白姓,Y,NEG
5646,1,#疯狂的大葱#我不吃这东西,N,NA
5650,1,#疯狂的大葱#下一个疯狂又是什么呢？,N,NA
5652,1,#疯狂的大葱#如今的物价太吓人了!,Y,NEG
5652,2,中国的工薪族，还能活吗?,Y,NEG
5652,3,十块钱的两根葱;我决定不吃了;只吃普通的葱。,N,NA
5653,1,#疯狂的大葱#啥不疯狂！,N,NA
5653,2,唉 /敲打,N,NA
5654,1,#疯狂的大葱#深有体会！,N,NA
5656,1,#疯狂的大葱#现在啥不疯狂？,N,NA
5656,2,农产品难么多，炒完这个炒那个。,N,NA
5656,3,商人嘛，挣了一元还想挣十元，永远不会满足。,Y,NEG
5656,4,他才不会管你什么民生，什么国家利益，什么社会稳定。,Y,NEG
5656,5,利益至上才是真的。,N,NA
5658,1,#疯狂的大葱#大葱今年疯狂不起来了；,N,NA
5661,1,#疯狂的大葱#只听到涨的，没听到跌的，涨涨涨，到最后就剩下RR不值钱了,Y,NEG
5666,1,#疯狂的大葱#大葱贵！,Y,NEG
5666,2,我宁可不吃！,N,NA
5668,1,#疯狂的大葱#呛，呛，呛死我了,N,NA
5674,1,#疯狂的大葱#葱疯头了,Y,NEG
5675,1,#疯狂的大葱#穷人话多，葱上张与种葱的农民有什么关系，不知道就不要瞎说，最冤的是农民，自己种的都舍不得吃，,Y,NEG
5679,1,#疯狂的大葱#现在的工资只能吃什么呢?,Y,NEG
5680,1,#疯狂的大葱#老家的葱涨钱了！,Y,NEG
5691,1,#疯狂的大葱#真是天价，比房子还贵,Y,NEG
5692,1,#疯狂的大葱#吃饭都快吃不起了.....,N,NA
5692,2,这到底是什么社会.....,Y,NEG
5697,1,#疯狂的大葱#这一切都太可怕了,Y,NEG
5699,1,#疯狂的大葱#物价主管部门干什么去了？,Y,NEG
5700,1,#疯狂的大葱#大葱价格不稳定，一年里可能就是很短的时间可能值点钱，很多的时间里，我们买的时候，还是便宜的，所以种的人少了，再说今年多冷呀，贵一点也是情有可缘的吧！！！！,Y,POS
5703,1,#疯狂的大葱#北京卖葱的都坑人，还是家里的大葱便宜,Y,OTHER
5706,1,#疯狂的大葱#我不吃可以吧。,N,NA
5712,1,#疯狂的大葱# /惊恐这样不正常的事情  物价局。。。。。~~~,Y,NEG
5714,1,#疯狂的大葱#真是疯狂的世界啊,Y,NEG
5718,1,#疯狂的大葱#基本的民生问题都解决不了，中国啊中国,Y,NEG
5726,1,#疯狂的大葱#涨涨涨，涨你妹啊涨,Y,NEG
5728,1,#疯狂的大葱#猪都用上瘦肉精了，葱会不会？,N,NA
5729,1,#疯狂的大葱#青菜都快买不了了，都不敢吃青菜了…………,Y,NEG
5729,2,一个字啊“贵”。,Y,NEG
5730,1,#疯狂的大葱#不买；,N,NA
5730,2,全烂掉,N,NA
5737,1,#疯狂的大葱#用一天的工资买了锅，可买不起菜！,Y,NEG
5737,2,停火了！,N,NA
5737,3,用一个月工资买了手机，可绞不起话费！,Y,NEG
5737,4,停机了！,N,NA
5737,5,用一年的工资买了车，可用不起油！,Y,NEG
5737,6,停车了！,N,NA
5737,7,用五十年工资买了房子，可交不起管理费！,Y,NEG
5737,8,停电了！,N,NA
5738,1,#疯狂的大葱#都他妈RMB惹的货。。。,Y,NEG
5739,1,#疯狂的大葱# 疯狂，以前去菜市场买菜，摊主都“送你葱”，而今天一般都不送葱了。,Y,NEG
5742,1,#疯狂的大葱#那是北方人的最爱吧，我不吃葱，免费送我的话可以考虑,N,NA
5745,1,#疯狂的大葱#政府为什么不打击这种恶意的炒作？！！,Y,NEG
5745,2,这并不是单纯的商家炒作！,Y,NEG
5745,3,追查幕后，看看谁才是这利益链条中的关键！,N,NA
5748,1,#疯狂的大葱#这个现在看来很正常，关键是要查清到底是物价上涨得离谱还是大葱给炒得离谱。,Y,POS
5750,1,#疯狂的大葱#我以后实习还没有工资发的，以现在的物价看来，我以后是不是会饿死呢？,Y,NEG
6860,1,#官员财产公示# 纯属作秀  走个形式,Y,NEG
6865,1,#官员财产公示#只当它是个带响的屁,Y,NEG
6866,1,#官员财产公示#廉洁人是不能做官的  就是廉洁监理都是被甲方和施工方看不起的  你说财产公示能有投诉吗,Y,NEG
6867,1,#官员财产公示#大家不要抱任何幻想，只是个笑话,Y,NEG
6869,1,#官员财产公示#憧憬着新中国的美好与辉煌。,N,NA
6871,1,#官员财产公示#  别扯蛋了，蛋疼。。。,Y,NEG
6871,2,不过这些年也疼惯了，还是打打酱油，看看凤姐比较实在。,N,NA
6871,3,/右哼哼,N,NA
6873,1,#官员财产公示#中国的高层都他妈是装，真不知道你们的各级领导有多贪吗，还零投诉呢，真是掩耳盗铃,Y,NEG
6874,1,#官员财产公示#除了党信，再可能就是小鬼信了。,Y,NEG
6874,2,随便拉个村官或股级的都有几处房产。,N,NA
6875,1,#官员财产公示#你们还会在乎百姓的看法吗？,Y,NEG
